country, folder,year,ppp,rate                            
BE,1                ,2010             ,1.12318     ,1          
BG,2                ,2010             ,1.00343     ,1.9558     
CZ,3                ,2010             ,19.3245     ,26.435     
DK,4                ,2010             ,10.7044     ,7.4462     
DE,5                ,2010             ,1.06053     ,1          
EE,6                ,2010             ,11.97404569 ,15.6466    
GR,7                ,2010             ,0.949555    ,1          
ES,8                ,2010             ,0.977934    ,1          
FR,9                ,2010             ,1.12359     ,1          
IT,10               ,2010             ,1.04861     ,1          
CY,11               ,2010             ,0.901031    ,1          
LV,12               ,2010             ,0.536673    ,0.7057     
LT,13               ,2010             ,2.32602     ,3.4528     
LU,14               ,2010             ,1.20886     ,1          
HU,15               ,2010             ,177.813     ,280.33     
MT,16               ,2010             ,0.783693    ,1          
NL,17               ,2010             ,1.0781      ,1          
AT,18               ,2010             ,1.08037     ,1          
PL,19               ,2010             ,2.51974     ,4.3276     
PT,20               ,2010             ,0.891869    ,1          
RO,21               ,2010             ,2.44233     ,4.2399     
SI,22               ,2010             ,0.855863    ,1          
SK,23               ,2010             ,0.736426    ,1          
FI,24               ,2010             ,1.24658     ,1          
SE,25               ,2010             ,11.5237     ,10.6191    
IS,26               ,2010             ,174.012     ,172.67     
NO,27               ,2010             ,11.9698     ,8.7278     
CH,28               ,2010             ,2.09196     ,1.51       
TR,30               ,2010             ,1.37372     ,2.1631     
IE,31               ,2010             ,1.22894     ,1          
UK,32               ,2010             ,0.859736    ,0.85784    
HR,33               ,2010             ,5.54145     ,7.34       
BE,1                ,2009             ,1.10417     ,1          
BG,2                ,2009             ,0.961525    ,1.9558     
CZ,3                ,2009             ,18.0102     ,24.946     
DK,4                ,2009             ,10.4157     ,7.456      
DE,5                ,2009             ,1.0352      ,1          
EE,6                ,2009             ,12.15875381 ,15.6466    
GR,7                ,2009             ,0.910487    ,1          
ES,8                ,2009             ,0.951768    ,1          
FR,9                ,2009             ,1.11946     ,1          
IT,10               ,2009             ,1.02888     ,1          
CY,11               ,2009             ,0.887798    ,1          
LV,12               ,2009             ,0.525214    ,0.7027     
LT,13               ,2009             ,2.27635     ,3.4528     
LU,14               ,2009             ,1.1749      ,1          
HU,15               ,2009             ,174.361     ,251.51     
MT,16               ,2009             ,0.772905    ,1          
NL,17               ,2009             ,1.04832     ,1          
AT,18               ,2009             ,1.0545      ,1          
PL,19               ,2009             ,2.427       ,3.5121     
PT,20               ,2009             ,0.880331    ,1          
RO,21               ,2009             ,2.31282     ,3.6826     
SI,22               ,2009             ,0.82331     ,1          
SK,23               ,2009             ,0.7222      ,1          
FI,24               ,2009             ,1.21328     ,1          
SE,25               ,2009             ,10.8883     ,9.6152     
IS,26               ,2009             ,149.115     ,143.83     
NO,27               ,2009             ,11.4946     ,8.2237     
CH,28               ,2009             ,2.05176     ,1.5874     
TR,30               ,2009             ,1.31737     ,1.9064     
IE,31               ,2009             ,1.2758      ,1          
UK,32               ,2009             ,0.848076    ,0.89094    
BE,1                ,2008             ,1.07417     ,1          
BG,2                ,2008             ,0.891266    ,1.9558     
CZ,3                ,2008             ,17.3233     ,27.766     
DK,4                ,2008             ,10.2275     ,7.4506     
DE,5                ,2008             ,1.01678     ,1          
EE,6                ,2008             ,11.4756     ,15.6466    
GR,7                ,2008             ,0.897614    ,1          
ES,8                ,2008             ,0.928404    ,1          
FR,9                ,2008             ,1.08038     ,1          
IT,10               ,2008             ,1.02467     ,1          
